node,X,Y,Survey
395,505144,193068,0
396,515144,193068,0
397,525144,193068,0
398,535144,193068,0
399,545144,193068,0
400,555144,193068,0
401,565144,193068,0
402,575144,193068,0
403,585144,193068,1
404,595144,193068,0
405,305144,203068,0
406,315144,203068,0
407,325144,203068,0
408,335144,203068,0
409,345144,203068,1
410,355144,203068,0
411,365144,203068,1
412,375144,203068,1
413,385144,203068,1
414,395144,203068,0
415,405144,203068,0
416,415144,203068,0
417,425144,203068,0
418,435144,203068,1
419,445144,203068,0
420,455144,203068,0
421,465144,203068,0
422,475144,203068,0
423,485144,203068,0
424,495144,203068,0
425,505144,203068,0
426,515144,203068,0
427,525144,203068,0
428,535144,203068,0
429,545144,203068,0
430,555144,203068,1
431,565144,203068,0
432,575144,203068,0
433,585144,203068,0
434,595144,203068,1
435,305144,213068,0
436,325144,213068,0
437,335144,213068,1
438,345144,213068,0
439,355144,213068,1
440,365144,213068,0
441,375144,213068,0
442,385144,213068,0
443,395144,213068,0
444,405144,213068,0
445,415144,213068,1
446,425144,213068,0
447,435144,213068,0
448,445144,213068,1
449,455144,213068,1
450,465144,213068,1
451,475144,213068,0
452,485144,213068,1
453,495144,213068,0
454,505144,213068,0
455,515144,213068,1
456,525144,213068,0
457,535144,213068,0
458,545144,213068,1
459,555144,213068,0
460,565144,213068,1
461,575144,213068,1
462,585144,213068,1
463,595144,213068,0
464,335144,223068,0
465,345144,223068,1
466,355144,223068,0
467,365144,223068,0
468,375144,223068,0
469,385144,223068,0
470,395144,223068,0
471,405144,223068,0
472,415144,223068,0
473,425144,223068,1
474,435144,223068,0
475,445144,223068,1
476,455144,223068,0
477,465144,223068,0
478,475144,223068,0
479,485144,223068,1
480,495144,223068,1
481,505144,223068,0
482,515144,223068,0
483,525144,223068,1
484,535144,223068,0
485,545144,223068,0
486,555144,223068,0
487,565144,223068,0
488,575144,223068,0
489,585144,223068,1
490,595144,223068,1
491,605144,223068,1
492,615144,223068,1
493,625144,223068,0
494,335144,233068,1
495,345144,233068,0
496,355144,233068,0
497,365144,233068,0
498,375144,233068,0
499,385144,233068,1
500,395144,233068,0
501,405144,233068,1
502,415144,233068,0
503,425144,233068,0
504,435144,233068,0
505,445144,233068,0
506,455144,233068,0
507,465144,233068,1
508,475144,233068,0
509,485144,233068,0
510,495144,233068,0
511,505144,233068,1
512,515144,233068,0
513,525144,233068,0
514,535144,233068,1
515,545144,233068,0
516,555144,233068,1
517,565144,233068,1
518,575144,233068,0
519,585144,233068,0
520,595144,233068,0
521,605144,233068,0
522,325144,243068,0
523,335144,243068,0
524,345144,243068,0
525,355144,243068,0
526,365144,243068,0
527,375144,243068,1
528,385144,243068,1
529,395144,243068,0
530,405144,243068,1
531,415144,243068,1
532,425144,243068,1
533,435144,243068,0
534,445144,243068,0
535,455144,243068,1
536,465144,243068,0
537,475144,243068,0
538,485144,243068,0
539,495144,243068,0
540,505144,243068,0
541,515144,243068,0
542,525144,243068,0
543,535144,243068,0
544,545144,243068,0
545,555144,243068,1
546,565144,243068,0
547,575144,243068,1
548,585144,243068,1
549,595144,243068,1
550,605144,243068,0
551,615144,243068,0
552,625144,243068,0
553,635144,243068,0
554,335144,253068,1
555,345144,253068,1
556,355144,253068,0
557,365144,253068,0
558,375144,253068,0
559,385144,253068,0
560,395144,253068,0
561,405144,253068,0
562,415144,253068,0
563,425144,253068,0
564,435144,253068,1
565,445144,253068,0
566,455144,253068,0
567,465144,253068,0
568,475144,253068,0
569,485144,253068,0
570,495144,253068,1
571,505144,253068,0
572,515144,253068,1
573,525144,253068,0
574,535144,253068,0
575,545144,253068,0
576,555144,253068,0
577,565144,253068,0
578,575144,253068,0
579,585144,253068,0
580,595144,253068,0
581,605144,253068,0
582,615144,253068,0
583,625144,253068,0
584,635144,253068,0
585,645144,253068,0
586,335144,263068,0
587,345144,263068,0
588,355144,263068,1
589,365144,263068,0
590,375144,263068,1
591,385144,263068,0
592,395144,263068,1
593,405144,263068,0
594,415144,263068,1
595,425144,263068,0
596,435144,263068,0
597,445144,263068,1
598,455144,263068,0
599,465144,263068,1
600,475144,263068,0
601,485144,263068,0
