name,latitude,longitude,Region.num,dep,x,y
Kislingbury,52.226684,-0.97832,Nth 4,no hyperrhoticity,469.776432601513,259.256232590105
Aston Cantlow,52.23591,-1.796421,Wa 5,no hyperrhoticity,413.900880583893,259.810080582534
Napton-on-the Hill,52.245966,-1.319795,Wa 4,no hyperrhoticity,446.435344891767,261.126898147565
Mendlesham,52.249163,1.07976,Sf 2,no hyperrhoticity,610.205850600287,265.733356413753
Clifton-upon-Teme,52.251555,-2.422225,Wo 4,hyperrhoticity,371.17961428847,261.614526976493
Elsworth,52.255314,-0.072272,C 2,no hyperrhoticity,531.566524286188,263.699069893514
Yoxford,52.265793,1.510936,Sf 3,no hyperrhoticity,639.536971729124,268.921461377879
Hanbury,52.271121,-2.056853,Wo 3,no hyperrhoticity,396.121006479801,263.70817552121
Kimbolton,52.296978,-0.386705,Hu 2,no hyperrhoticity,510.004957229639,267.807908524926
Brimfield,52.306538,-2.696273,He 1,no hyperrhoticity,352.532515046276,267.873912310607
Tuddenham,52.312338,0.548653,Sf 1,no hyperrhoticity,573.714964566667,271.349140798838
Little Harrowden,52.333567,-0.725155,Nth 3,no hyperrhoticity,486.856652877077,271.416781520933
Hartlebury,52.337686,-2.229982,Wo 2,no hyperrhoticity,384.332202404109,271.134833880569
Stoneleigh,52.352113,-1.517514,Wa 3,no hyperrhoticity,432.859159832341,272.824053966486
Hockley Heath,52.353533,-1.779911,Wa 2,no hyperrhoticity,414.988465957482,272.895233737442
Garboldisham,52.39558,0.94641,Nf 13,no hyperrhoticity,600.443088057559,281.633592250316
Warboys,52.404533,-0.077056,Hu 1,no hyperrhoticity,530.799063225024,280.284081049539
Welford,52.414995,-1.056133,Nth 2,no hyperrhoticity,464.18917790249,280.12726510685
Romsley,52.415712,-2.057134,Wo 1,no hyperrhoticity,396.114529731513,279.78955093326
Kinlet,52.417901,-2.410345,Sa 11,no hyperrhoticity,372.095408330668,280.110667440699
Clun,52.419476,-3.032585,Sa 9,hyperrhoticity,329.78469110246,280.708096699972
Pulham St Mary,52.419577,1.249913,Nf 12,no hyperrhoticity,620.964850232045,285.186603408404
Little Downham,52.430859,0.24094,C 1,no hyperrhoticity,552.335822471035,283.834468829958
Diddlebury,52.463766,-2.724558,Sa 10,no hyperrhoticity,350.779424966782,285.379445900196
Ullesthorpe,52.483753,-1.255161,Lei 10,no hyperrhoticity,450.575361869104,287.616403660507
Warmington,52.506469,-0.409984,Nth 1,no hyperrhoticity,507.905365467962,291.070257950965
Himley,52.520416,-2.184483,St 11,no hyperrhoticity,387.483739267369,291.449396070947
Ashwellthorpe,52.531495,1.16313,Nf 10,no hyperrhoticity,614.520585396257,297.367572443617
Nether Whitacre,52.531784,-1.660915,Wa 1,no hyperrhoticity,422.99928006044,292.751805945305
All Stretton,52.554179,-2.796974,Sa 7,no hyperrhoticity,345.971138479427,295.486978070198
Hilton,52.55748,-2.330017,Sa 8,no hyperrhoticity,377.62884557875,295.606941143135
Reedham,52.560618,1.566159,Nf 11,no hyperrhoticity,641.684809888402,301.88012622909
Lyddington,52.567357,-0.7123,R 2,no hyperrhoticity,487.269068829217,297.433120556877
Carlton Curlieu,52.570449,-0.98034,Lei 9,no hyperrhoticity,469.099361181292,297.486533638282
Goadby,52.578751,-0.892602,Lei 8,no hyperrhoticity,475.03074831245,298.497519236813
Chirbury,52.579293,-3.091498,Sa 6,hyperrhoticity,326.047419693943,298.541380784589
Kinnersley,52.586485,-2.70375,Sa 5,hyperrhoticity,352.325986864299,299.014394120058
Sheepy Magna,52.611185,-1.51529,Lei 7,no hyperrhoticity,432.81727488609,301.639376701473
Outwell,52.612299,0.236705,Nf 7,no hyperrhoticity,551.422594694795,304.001871207768
Shipdham,52.629152,0.88747,Nf 9,no hyperrhoticity,595.394919658734,307.441764115432
Wigginton,52.657183,-1.69169,St 10,no hyperrhoticity,420.852277009713,306.689821138576
Empingham,52.668853,-0.598097,R 1,no hyperrhoticity,494.788857526608,308.865381076847
Crowland,52.67677,-0.16876,L 15,no hyperrhoticity,523.793542615036,310.397223381327
Markfield,52.689224,-1.277134,Lei 5,no hyperrhoticity,448.85437532765,310.454127893375
Edingale,52.707547,-1.680999,St 9,no hyperrhoticity,421.550547448904,312.29473392281
Ludham,52.709747,1.537344,Nf 6,no hyperrhoticity,638.918089206512,318.362485006131
Lapley,52.715568,-2.187424,St 8,no hyperrhoticity,387.340626662037,313.15562900839
Great Dalby,52.724036,-0.896413,Lei 6,no hyperrhoticity,474.52509646254,314.652165334052
Montford,52.727604,-2.864466,Sa 4,hyperrhoticity,341.627110222886,314.828314211696
Packington,52.730103,-1.468288,Lei 4,no hyperrhoticity,435.901916241708,314.888406938937
Mavesyn Ridware,52.748115,-1.882952,St 7,no hyperrhoticity,407.90001121566,316.765682492225
Seagrave,52.751752,-1.083616,Lei 3,no hyperrhoticity,461.844372999195,317.557493186161
North Elmham,52.754624,0.945277,Nf 5,no hyperrhoticity,598.734907731988,321.550993427129
Grimston,52.766796,0.551157,Nf 4,no hyperrhoticity,572.098396261077,321.888485105615
Llanymynech,52.781316,-3.09031,Sa 3,hyperrhoticity,326.467985689903,321.00930128955
Swinstead,52.791139,-0.490348,L 13,no hyperrhoticity,501.788581300377,322.612834604244
Hathern,52.794724,-1.260395,Lei 2,no hyperrhoticity,449.865086633261,322.19981804458
Hoar Cross,52.805589,-1.806353,St 6,no hyperrhoticity,413.052758045599,323.169538399589
Blickling,52.808641,1.234994,Nf 3,no hyperrhoticity,618.008171748016,328.396513990375
Lutton,52.809452,0.124674,L 14,no hyperrhoticity,543.1920200577,325.697086160858
Ellenhall,52.833604,-2.232138,St 5,no hyperrhoticity,384.36282198709,326.293280891919
Harby,52.870898,-0.895212,Lei 1,no hyperrhoticity,474.355297303309,330.987792944237
Great Snoring,52.873663,0.891417,Nf 2,no hyperrhoticity,594.568897816434,334.639537165784
Prees,52.898764,-2.664916,Sa 2,no hyperrhoticity,355.277514288788,333.722726869835
Docking,52.900455,0.624724,Nf 1,no hyperrhoticity,576.517290952904,336.929579205549
Sutton-on-the Hill,52.901495,-1.654977,Db 7,no hyperrhoticity,423.205013521466,333.875248251835
Sutterton,52.905634,-0.097756,L 12,no hyperrhoticity,527.919762652555,335.973964424895
Weston Rhyn,52.912874,-3.06734,Sa 1,hyperrhoticity,328.234345324327,335.618470372461
Checkley,52.94145,-1.960382,He 4,no hyperrhoticity,402.662117674729,338.264472151587
Barlaston,52.945556,-2.158722,St 4,no hyperrhoticity,389.335743811381,338.732240314928
Hanmer,52.949682,-2.810294,Ch 6,no hyperrhoticity,345.563406493959,339.486614696266
Alton,52.977166,-1.891802,St 3,no hyperrhoticity,407.264337518462,342.241949249453
Audlem,52.98647,-2.512955,Ch 5,no hyperrhoticity,365.568080877781,343.394445917792
Fulbeck,53.043547,-0.591028,L 11,no hyperrhoticity,494.449741424952,350.548258442511
Kniveton,53.048151,-1.689661,Db 6,no hyperrhoticity,420.801756071091,350.17731476064
Oxton,53.058962,-1.060908,Nt 4,no hyperrhoticity,462.930081582402,351.747041833409
