latitude,longitude,dep,x,y,name,Region.num
51.989984,-1.046743,earned,465.449200244046,232.868816126626,NA,NA
52.002133,0.450702,earnt,568.205487197966,236.626514522323,NA,NA
52.017597,-0.054681,earnt,533.475811131245,237.297037288936,NA,NA
52.033474,0.650527,earned,581.791177728794,240.5925280954,NA,NA
52.058535,0.916917,earned,599.946413461186,244.079027415957,NA,NA
52.060655,-1.622814,earned,425.856482612244,240.366523437359,NA,NA
52.062757,0.19682,earned,550.578455381224,242.810377325941,NA,NA
52.078493,-2.190011,earned,386.979725589055,242.300276458634,NA,NA
52.091876,0.48794,earned,570.41908481025,246.691755326129,NA,NA
52.093246,-1.863793,earned,409.330345053326,243.932747671658,NA,NA
52.101639,-1.185457,earned,455.78626822242,245.170345783439,NA,NA
52.109097,-1.922863,earned,405.282106284154,245.689673670425,NA,NA
52.120677,-2.401822,earnt,372.491637762686,247.050878078342,NA,NA
52.155899,-0.347477,earnt,513.037363252895,252.179411088355,NA,NA
52.158942,-2.872496,earnt,340.321343938699,251.589266621381,NA,NA
52.161581,-0.625545,earned,494.00572339009,252.414457619747,NA,NA
52.201448,-1.504368,earned,433.869103293704,256.073540670715,NA,NA
52.226684,-0.97832,earned,469.776432601513,259.256232590105,NA,NA
52.23591,-1.796421,earnt,413.900880583893,259.810080582534,NA,NA
52.245966,-1.319795,earnt,446.435344891767,261.126898147565,NA,NA
52.249163,1.07976,earnt,610.205850600287,265.733356413753,NA,NA
52.251555,-2.422225,earned,371.17961428847,261.614526976493,NA,NA
52.255314,-0.072272,earned,531.566524286188,263.699069893514,NA,NA
52.265793,1.510936,earnt,639.536971729124,268.921461377879,NA,NA
52.271121,-2.056853,earnt,396.121006479801,263.70817552121,NA,NA
52.296978,-0.386705,earnt,510.004957229639,267.807908524926,NA,NA
52.306538,-2.696273,earnt,352.532515046276,267.873912310607,NA,NA
52.312338,0.548653,earnt,573.714964566667,271.349140798838,NA,NA
52.337686,-2.229982,earned,384.332202404109,271.134833880569,NA,NA
52.352113,-1.517514,earned,432.859159832341,272.824053966486,NA,NA
52.404533,-0.077056,earnt,530.799063225024,280.284081049539,NA,NA
52.414995,-1.056133,earnt,464.18917790249,280.12726510685,NA,NA
52.415712,-2.057134,earned,396.114529731513,279.78955093326,NA,NA
52.417901,-2.410345,earnt,372.095408330668,280.110667440699,NA,NA
52.419476,-3.032585,earned,329.78469110246,280.708096699972,NA,NA
52.430859,0.24094,earned,552.335822471035,283.834468829958,NA,NA
52.463766,-2.724558,earned,350.779424966782,285.379445900196,NA,NA
52.506469,-0.409984,earnt,507.905365467962,291.070257950965,NA,NA
52.520416,-2.184483,earned,387.483739267369,291.449396070947,NA,NA
52.531495,1.16313,earnt,614.520585396257,297.367572443617,NA,NA
52.531784,-1.660915,earned,422.99928006044,292.751805945305,NA,NA
