latitude,longitude,dep,x,y
52.265793,1.510936,coronal,639.536971729124,268.921461377879
52.271121,-2.056853,coronal,396.121006479801,263.70817552121
52.296978,-0.386705,coronal,510.004957229639,267.807908524926
52.306538,-2.696273,coronal,352.532515046276,267.873912310607
52.312338,0.548653,coronal,573.714964566667,271.349140798838
52.333567,-0.725155,coronal,486.856652877077,271.416781520933
52.337686,-2.229982,coronal,384.332202404109,271.134833880569
52.352113,-1.517514,coronal,432.859159832341,272.824053966486
52.353533,-1.779911,coronal,414.988465957482,272.895233737442
52.39558,0.94641,coronal,600.443088057559,281.633592250316
52.404533,-0.077056,coronal,530.799063225024,280.284081049539
52.414995,-1.056133,coronal,464.18917790249,280.12726510685
52.415712,-2.057134,coronal,396.114529731513,279.78955093326
52.417901,-2.410345,coronal,372.095408330668,280.110667440699
52.419476,-3.032585,coronal,329.78469110246,280.708096699972
52.419577,1.249913,coronal,620.964850232045,285.186603408404
52.430859,0.24094,coronal,552.335822471035,283.834468829958
52.463766,-2.724558,coronal,350.779424966782,285.379445900196
52.483753,-1.255161,coronal,450.575361869104,287.616403660507
52.506469,-0.409984,coronal,507.905365467962,291.070257950965
52.520416,-2.184483,coronal,387.483739267369,291.449396070947
52.531495,1.16313,coronal,614.520585396257,297.367572443617
52.531784,-1.660915,coronal,422.99928006044,292.751805945305
52.554179,-2.796974,coronal,345.971138479427,295.486978070198
52.55748,-2.330017,coronal,377.62884557875,295.606941143135
52.560618,1.566159,coronal,641.684809888402,301.88012622909
52.567357,-0.7123,coronal,487.269068829217,297.433120556877
52.570449,-0.98034,coronal,469.099361181292,297.486533638282
52.578751,-0.892602,coronal,475.03074831245,298.497519236813
52.579293,-3.091498,coronal,326.047419693943,298.541380784589
52.586485,-2.70375,coronal,352.325986864299,299.014394120058
52.589424,0.59697,coronal,575.899734189405,302.276070465448
52.611185,-1.51529,coronal,432.81727488609,301.639376701473
52.612299,0.236705,coronal,551.422594694795,304.001871207768
52.629152,0.88747,coronal,595.394919658734,307.441764115432
52.657183,-1.69169,coronal,420.852277009713,306.689821138576
52.668853,-0.598097,coronal,494.788857526608,308.865381076847
52.67677,-0.16876,coronal,523.793542615036,310.397223381327
52.689224,-1.277134,coronal,448.85437532765,310.454127893375
52.707547,-1.680999,coronal,421.550547448904,312.29473392281
52.709747,1.537344,coronal,638.918089206512,318.362485006131
52.715568,-2.187424,coronal,387.340626662037,313.15562900839
52.724036,-0.896413,coronal,474.52509646254,314.652165334052
52.727604,-2.864466,coronal,341.627110222886,314.828314211696
52.730103,-1.468288,coronal,435.901916241708,314.888406938937
52.748115,-1.882952,coronal,407.90001121566,316.765682492225
52.751752,-1.083616,coronal,461.844372999195,317.557493186161
52.754624,0.945277,coronal,598.734907731988,321.550993427129
52.766796,0.551157,coronal,572.098396261077,321.888485105615
52.781316,-3.09031,coronal,326.467985689903,321.00930128955
52.791139,-0.490348,coronal,501.788581300377,322.612834604244
52.794724,-1.260395,coronal,449.865086633261,322.19981804458
52.805589,-1.806353,coronal,413.052758045599,323.169538399589
52.808641,1.234994,coronal,618.008171748016,328.396513990375
52.809452,0.124674,coronal,543.1920200577,325.697086160858
52.833604,-2.232138,coronal,384.36282198709,326.293280891919
52.870898,-0.895212,coronal,474.355297303309,330.987792944237
52.873663,0.891417,coronal,594.568897816434,334.639537165784
52.898764,-2.664916,coronal,355.277514288788,333.722726869835
52.900455,0.624724,coronal,576.517290952904,336.929579205549
52.901495,-1.654977,coronal,423.205013521466,333.875248251835
52.905634,-0.097756,coronal,527.919762652555,335.973964424895
52.912874,-3.06734,coronal,328.234345324327,335.618470372461
52.94145,-1.960382,coronal,402.662117674729,338.264472151587
52.945556,-2.158722,coronal,389.335743811381,338.732240314928
52.949682,-2.810294,coronal,345.563406493959,339.486614696266
52.977166,-1.891802,coronal,407.264337518462,342.241949249453
52.98647,-2.512955,coronal,365.568080877781,343.394445917792
53.043547,-0.591028,coronal,494.449741424952,350.548258442511
53.048151,-1.689661,coronal,420.801756071091,350.17731476064
53.058962,-1.060908,coronal,462.930081582402,351.747041833409
53.072277,-0.691828,coronal,487.634677919294,353.6157058139
53.083869,-2.879133,coronal,341.121761428694,354.466482660505
